cancer_loc,sex,race,survival_time,stage,survival_percent
14,1,2,1,1,
14,1,2,1,2,
14,1,2,1,3,
14,1,2,2,1,
14,1,2,2,2,
14,1,2,2,3,
14,1,2,3,1,
14,1,2,3,2,
14,1,2,3,3,
14,1,2,4,1,
14,1,2,4,2,
14,1,2,4,3,
14,1,2,5,1,
14,1,2,5,2,
14,1,2,5,3,
14,2,1,0,1,100
14,2,1,0,2,100
14,2,1,0,3,100
14,2,1,1,1,98.3
14,2,1,1,2,87.8
14,2,1,1,3,49.8
14,2,1,2,1,96.2
14,2,1,2,2,73.8
14,2,1,2,3,30.7
14,2,1,3,1,94.3
14,2,1,3,2,66.2
14,2,1,3,3,22.9
14,2,1,4,1,92.9
14,2,1,4,2,61.5
14,2,1,4,3,20.2
14,2,1,5,1,91.7
14,2,1,5,2,58.4
14,2,1,5,3,18.3
14,2,2,0,1,100
14,2,2,0,2,100
14,2,2,0,3,100
14,2,2,1,1,96.1
14,2,2,1,2,81.4
14,2,2,1,3,38.7
14,2,2,2,1,91.6
14,2,2,2,2,64.3
14,2,2,2,3,21.2
14,2,2,3,1,90
14,2,2,3,2,57.3
14,2,2,3,3,14.9
14,2,2,4,1,88.1
14,2,2,4,2,51.9
14,2,2,4,3,12.7
14,2,2,5,1,86.7
14,2,2,5,2,48.8
14,2,2,5,3,11.5
15,1,1,0,1,
15,1,1,0,2,
15,1,1,0,3,
15,1,1,1,1,
15,1,1,1,2,
15,1,1,1,3,
15,1,1,2,1,
15,1,1,2,2,
15,1,1,2,3,
15,1,1,3,1,
15,1,1,3,2,
15,1,1,3,3,
15,1,1,4,1,
15,1,1,4,2,
15,1,1,4,3,
15,1,1,5,1,
15,1,1,5,2,
15,1,1,5,3,
15,1,2,0,1,
15,1,2,0,2,
15,1,2,0,3,
15,1,2,1,1,
15,1,2,1,2,
15,1,2,1,3,
15,1,2,2,1,
15,1,2,2,2,
15,1,2,2,3,
15,1,2,3,1,
15,1,2,3,2,
15,1,2,3,3,
15,1,2,4,1,
15,1,2,4,2,
15,1,2,4,3,
15,1,2,5,1,
15,1,2,5,2,
15,1,2,5,3,
15,2,1,0,1,100
15,2,1,0,2,100
15,2,1,0,3,100
15,2,1,1,1,99.2
15,2,1,1,2,91.6
15,2,1,1,3,52
15,2,1,2,1,98.2
15,2,1,2,2,83.5
15,2,1,2,3,34.5
15,2,1,3,1,97.4
15,2,1,3,2,77.9
15,2,1,3,3,26.1
15,2,1,4,1,96.8
15,2,1,4,2,74.1
15,2,1,4,3,21.1
15,2,1,5,1,96.3
15,2,1,5,2,71.4
15,2,1,5,3,18.4
15,2,2,0,1,100
15,2,2,0,2,100
15,2,2,0,3,100
15,2,2,1,1,95.9
15,2,2,1,2,82.2
15,2,2,1,3,41.8
15,2,2,2,1,91.9
15,2,2,2,2,67.9
15,2,2,2,3,22.6
15,2,2,3,1,88.9
15,2,2,3,2,59.2
15,2,2,3,3,15.7
15,2,2,4,1,87.1
15,2,2,4,2,54.2
15,2,2,4,3,12.1
15,2,2,5,1,85.5
15,2,2,5,2,49.3
15,2,2,5,3,9.3
16,1,1,0,1,
16,1,1,0,2,
16,1,1,0,3,
16,1,1,1,1,
16,1,1,1,2,
16,1,1,1,3,
16,1,1,2,1,
16,1,1,2,2,
16,1,1,2,3,
16,1,1,3,1,
16,1,1,3,2,
16,1,1,3,3,
16,1,1,4,1,
16,1,1,4,2,
16,1,1,4,3,
16,1,1,5,1,
16,1,1,5,2,
16,1,1,5,3,
16,1,2,0,1,
